,0,1,2,3,4,5,6,7,8,9
2300,0.02160835,0.01549339,0.07119179,0.06489372,0.05894279,0.05096626,0.04321861,0.03668594,0.02890968,0.0220089
2320,0.0151062,0.07304573,0.06600761,0.05876732,0.05130959,0.04356194,0.03648758,0.02921295,0.02254868,0.01516533
2340,0.07854271,0.07134628,0.06427383,0.05449486,0.04471207,0.03719521,0.02997971,0.02258682,0.01624107,0.07430649
2360,0.06934929,0.06236267,0.05431175,0.0452404,0.03781128,0.03014755,0.02316284,0.01548386,0.07623672,0.06801796
2380,0.06168938,0.05478287,0.04753113,0.03846741,0.03077698,0.02357101,0.01611328,0.07744598,0.06922531,0.06222534
2400,0.0563736,0.04693222,0.03989029,0.03146362,0.02380753,0.01640701,0.0774765,0.07029343,0.06371307,0.05502701
2420,0.0476532,0.03961182,0.03192139,0.02422333,0.01661301,0.08002472,0.07254791,0.06416702,0.05569458,0.04935455
2440,0.03992844,0.03233719,0.02410507,0.0167923,0.08385849,0.07288361,0.06606674,0.05744553,0.04835892,0.04142761
2460,0.03416443,0.02448273,0.01664734,0.08246994,0.07520294,0.06805801,0.05777359,0.04935455,0.04087448,0.03270721
2480,0.02505493,0.01794052,0.08274078,0.07427216,0.06676483,0.05967712,0.05076981,0.04150391,0.03340912,0.02510834
2500,0.01751328,0.08429337,0.07566452,0.06772614,0.06064606,0.05156708,0.04197311,0.03394318,0.02534485,0.01734161
2520,0.08557892,0.07769775,0.0690155,0.06109619,0.05163574,0.04372025,0.03443146,0.02550507,0.01847458,0.08553696
2540,0.07870865,0.06981659,0.06169128,0.05262375,0.04342651,0.03486633,0.02618408,0.0178299,0.09062958,0.07836914
2560,0.07159042,0.06215668,0.05392456,0.04403305,0.03537369,0.0265007,0.01813507,0.09011459,0.07910156,0.07225418
2580,0.06284332,0.05489349,0.04606628,0.03591156,0.02711105,0.01857376,0.09080505,0.08050919,0.0717659,0.06397247
2600,0.05472183,0.04667282,0.03667831,0.0275116,0.01927185,0.09076309,0.08544159,0.07295609,0.0641098,0.05546951
2620,0.04590225,0.03689575,0.02780914,0.01885223,0.09273529,0.0834198,0.07416534,0.06509399,0.05602264,0.04600906
2640,0.03846741,0.02807617,0.02066422,0.09389114,0.08755112,0.07507324,0.06804276,0.05726624,0.04680252,0.03794861
2660,0.0296402,0.01945877,0.09513855,0.08536911,0.07767105,0.06915665,0.05849075,0.04771042,0.03806305,0.02878952
2680,0.01998901,0.09589767,0.08782578,0.07991028,0.06790543,0.06151199,0.04796219,0.04004669,0.02899933,0.01996613
2700,0.09803772,0.08917999,0.07876968,0.06918335,0.06051636,0.0494194,0.03939819,0.03038788,0.01967239,0.09874344
2720,0.0913353,0.08107376,0.07107162,0.06015396,0.05005264,0.03943253,0.03022385,0.02010345,0.1001892,0.09057617
2740,0.08173752,0.07120895,0.06103897,0.05028915,0.0409317,0.03024292,0.020504,0.1009445,0.09126282,0.08155823
2760,0.07261658,0.06174088,0.05119324,0.04155731,0.03255463,0.02088165,0.1043777,0.09178162,0.0819931,0.07205582
2780,0.06218338,0.0521965,0.04146194,0.03227234,0.02124405,0.1049461,0.09359741,0.08425522,0.07314682,0.06375122
2800,0.05392838,0.04198074,0.0334816,0.02116776,0.1054001,0.09555054,0.0854454,0.07421875,0.0647049,0.05286026
2820,0.04300308,0.03359985,0.02150345,0.1067619,0.0965538,0.08683014,0.07699585,0.06478119,0.05489731,0.04392242
2840,0.03215027,0.02257156,0.110405,0.09774399,0.08917618,0.07594299,0.06613922,0.05490875,0.04298401,0.03226852
2860,0.02209473,0.1107025,0.1006012,0.08797455,0.07860565,0.06754684,0.05555344,0.04518509,0.03377914,0.02221298
2880,0.110878,0.1006851,0.08930588,0.07993317,0.06916046,0.0553894,0.04386139,0.03297424,0.02196503,0.1118393
2900,0.1023827,0.09144211,0.08075714,0.06855774,0.05752563,0.04512405,0.03365707,0.0225029,0.1131859,0.1022797
2920,0.09128571,0.07998657,0.06973648,0.05762863,0.0463295,0.03413391,0.0230217,0.1146622,0.1032562,0.09143448
2940,0.0822258,0.07125854,0.0591774,0.0460701,0.036026,0.02352905,0.1160545,0.1062546,0.09358597,0.08205414
2960,0.07066345,0.05818176,0.04675293,0.0352478,0.02503204,0.1170845,0.1077728,0.09436798,0.08334351,0.07048798
2980,0.05984879,0.0483284,0.03721237,0.02368164,0.118515,0.1076851,0.09533691,0.0844841,0.07391739,0.06075668
3000,0.04791641,0.03658676,0.02419662,0.1214066,0.1087303,0.09639359,0.08511353,0.07261658,0.0599823,0.0486412
3020,0.03628159,0.02616501,0.1233292,0.1112251,0.09775925,0.08573914,0.07453537,0.06101608,0.04948044,0.03656769
3040,0.02602768,0.1234779,0.1125031,0.1002426,0.08775711,0.0745163,0.06191254,0.04989624,0.03699875,0.02628326
3060,0.1250114,0.1133575,0.1002312,0.08847046,0.07620239,0.06336975,0.04965591,0.03790283,0.0259819,0.1249771
3080,0.1156349,0.1031189,0.08906937,0.07909012,0.06399918,0.05236053,0.03939819,0.02604675,0.1269608,0.1142197
3100,0.103138,0.09124374,0.0789032,0.06423569,0.0506897,0.03859711,0.0256958,0.1283226,0.116581,0.1028328
3120,0.09339523,0.08064651,0.06629181,0.0524826,0.04565048,0.02625275,0.1415405,0.118145,0.10569,0.09149551
3140,0.08169174,0.06780243,0.05402756,0.03941345,0.02670288,0.1313705,0.1189499,0.1051292,0.09307861,0.0794754
3160,0.06641769,0.05284119,0.04000473,0.02648926,0.135437,0.1202469,0.1083946,0.09390259,0.0800705,0.06900406
